,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Original_medal,Gold,Silver,Bronze,Athlete_Team,Original_gold_winner,New_medal
2,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,100m men,Gold,1,0,0,Thomas Burke (USA),Thomas Burke (USA),Gold
4,Athens (1896),1896,Athletics,Athletics,Thomas Curtis,USA,Men,110m hurdles men,Gold,1,0,0,Thomas Curtis (USA),Thomas Curtis (USA),Gold
7,Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,1500m men,Gold,1,0,0,Edwin Flack (AUS),Edwin Flack (AUS),Gold
10,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,400m men,Gold,1,0,0,Thomas Burke (USA),Thomas Burke (USA),Gold
13,Athens (1896),1896,Athletics,Athletics,Edwin Flack,ZZX,Men,800m men,Gold,1,0,0,Edwin Flack (ZZX),Edwin Flack (ZZX),Gold
16,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,discus throw men,Gold,1,0,0,Robert Garrett (USA),Robert Garrett (USA),Gold
18,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,high jump men,Gold,1,0,0,Ellery Clark (USA),Ellery Clark (USA),Gold
22,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,long jump men,Gold,1,0,0,Ellery Clark (USA),Ellery Clark (USA),Gold
25,Athens (1896),1896,Athletics,Athletics,Spyridon Louis,GRE,Men,marathon men,Gold,1,0,0,Spyridon Louis (GRE),Spyridon Louis (GRE),Gold
29,Athens (1896),1896,Athletics,Athletics,William Welles Hoyt,USA,Men,pole vault men,Gold,1,0,0,William Welles Hoyt (USA),William Welles Hoyt (USA),Gold
32,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,shot put men,Gold,1,0,0,Robert Garrett (USA),Robert Garrett (USA),Gold
35,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Gold,1,0,0,James Connolly (USA),James Connolly (USA),Gold
38,Paris (1900),1900,Athletics,Athletics,Francis Jarvis,USA,Men,100m men,Gold,1,0,0,Francis Jarvis (USA),Francis Jarvis (USA),Gold
41,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,110m hurdles men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
44,Paris (1900),1900,Athletics,Athletics,Charles Bennett,GBR,Men,1500m men,Gold,1,0,0,Charles Bennett (GBR),Charles Bennett (GBR),Gold
47,Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,200m men,Gold,1,0,0,Walter B. John Tewksbury (USA),Walter B. John Tewksbury (USA),Gold
50,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,200m hurdles men,Gold,1,0,0,Alvin Kraenzlein (USA),Alvin Kraenzlein (USA),Gold
53,Paris (1900),1900,Athletics,Athletics,George Orton,CAN,Men,3000m steeplechase men,Gold,1,0,0,George Orton (CAN),George Orton (CAN),Gold
56,Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,4000m steeplechase men,Gold,1,0,0,John Rimmer (ZZX),John Rimmer (ZZX),Gold
59,Paris (1900),1900,Athletics,Athletics,Maxwell W.Maxey Long,USA,Men,400m men,Gold,1,0,0,Maxwell W.Maxey Long (USA),Maxwell W.Maxey Long (USA),Gold
62,Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,400m hurdles men,Gold,1,0,0,Walter B. John Tewksbury (USA),Walter B. John Tewksbury (USA),Gold
64,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Charles Bennett (ZZX),Gold
65,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),John Rimmer (ZZX),Gold
66,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Sidney Robinson (ZZX),Gold
67,Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0,Charles Bennett (ZZX),Stanley Rowley (AUS),Gold
